"Index","SYMBOL"
"1","AL627309.1"
"2","RP11-206L10.2"
"3","LINC00115"
"4","NOC2L"
"5","KLHL17"
"6","PLEKHN1"
"7","HES4"
"8","ISG15"
"9","AGRN"
"10","C1orf159"
"11","TNFRSF18"
"12","TNFRSF4"
"13","SDF4"
"14","B3GALT6"
"15","UBE2J2"
"16","ACAP3"
"17","PUSL1"
"18","CPSF3L"
"19","GLTPD1"
"20","DVL1"
"21","AURKAIP1"
"22","CCNL2"
"23","RP4-758J18.2"
"24","MRPL20"
"25","ATAD3C"
"26","ATAD3B"
"27","ATAD3A"
"28","SSU72"
"29","AL645728.1"
"30","RP11-345P4.9"
"31","MIB2"
"32","MMP23B"
"33","CDK11B"
"34","SLC35E2B"
"35","CDK11A"
"36","SLC35E2"
"37","NADK"
"38","GNB1"
"39","PRKCZ"
"40","RP5-892K4.1"
"41","C1orf86"
"42","AL590822.2"
"43","SKI"
"44","MORN1"
"45","RER1"
"46","PEX10"
"47","PANK4"
"48","RP3-395M20.12"
"49","TNFRSF14"
"50","RP3-395M20.9"
"51","FAM213B"
"52","MMEL1"
"53","TTC34"
"54","MEGF6"
"55","TPRG1L"
"56","WRAP73"
"57","TP73-AS1"
"58","SMIM1"
"59","LRRC47"
"60","CEP104"
"61","DFFB"
"62","C1orf174"
"63","LINC01134"
"64","NPHP4"
"65","KCNAB2"
"66","RPL22"
"67","RNF207"
"68","ICMT"
"69","GPR153"
"70","ACOT7"
"71","RP1-202O8.3"
"72","ESPN"
"73","TNFRSF25"
"74","NOL9"
"75","ZBTB48"
"76","KLHL21"
"77","PHF13"
"78","THAP3"
"79","DNAJC11"
"80","CAMTA1"
"81","VAMP3"
"82","PER3"
"83","TNFRSF9"
"84","PARK7"
"85","ERRFI1"
"86","SLC45A1"
"87","RERE"
"88","ENO1"
"89","ENO1-AS1"
"90","CA6"
"91","SLC2A5"
"92","GPR157"
"93","H6PD"
"94","SPSB1"
"95","SLC25A33"
"96","TMEM201"
"97","PIK3CD"
"98","C1orf200"
"99","RP11-558F24.4"
"100","CLSTN1"
"101","CTNNBIP1"
"102","LZIC"
"103","NMNAT1"
"104","RBP7"
"105","UBE4B"
"106","KIF1B"
"107","PGD"
"108","APITD1"
"109","DFFA"
"110","PEX14"
"111","CASZ1"
"112","TARDBP"
"113","RP4-635E18.8"
"114","SRM"
"115","EXOSC10"
"116","MTOR"
"117","UBIAD1"
"118","FBXO2"
"119","FBXO44"
"120","FBXO6"
"121","MAD2L2"
"122","DRAXIN"
"123","AGTRAP"
"124","MTHFR"
"125","CLCN6"
"126","NPPA-AS1"
"127","KIAA2013"
"128","PLOD1"
"129","MFN2"
"130","MIIP"
"131","TNFRSF8"
"132","TNFRSF1B"
"133","VPS13D"
"134","DHRS3"
"135","PDPN"
"136","PRDM2"
"137","TMEM51"
"138","FHAD1"
"139","RP3-467K16.4"
"140","EFHD2"
"141","CASP9"
"142","DNAJC16"
"143","AGMAT"
"144","DDI2"
"145","PLEKHM2"
"146","SLC25A34"
"147","FBLIM1"
"148","RP11-169K16.9"
"149","SPEN"
"150","ZBTB17"
"151","ARHGEF19"
"152","RSG1"
"153","FBXO42"
"154","SZRD1"
"155","NECAP2"
"156","RP4-798A10.2"
"157","NBPF1"
"158","CROCCP2"
"159","CROCC"
"160","RP11-108M9.4"
"161","RP11-108M9.6"
"162","ATP13A2"
"163","SDHB"
"164","PADI2"
"165","PADI4"
"166","RCC2"
"167","ARHGEF10L"
"168","ALDH4A1"
"169","IFFO2"
"170","UBR4"
"171","RP1-43E13.2"
"172","EMC1"
"173","MRTO4"
"174","AKR7A2"
"175","PQLC2"
"176","CAPZB"
"177","MINOS1"
"178","NBL1"
"179","TMCO4"
"180","OTUD3"
